Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
CS 100,Discovering Computer Science,17397,LCD - AS1,10:00 AM - 10:50 AM,MWF,"Reed, D",Online Synchronous
CS 107,Introduction to Computing and Programming,17412,LEC - AL1,09:30 AM - 10:45 AM,TR,"Reckinger, S",Online Asynchronous
CS 109,Programming for Engineers with MatLab,19466,LCD - AS,10:00 AM - 10:50 AM,MW,"Koehler, A",Online Synchronous
CS 111,Program Design I,34013,LCD - AS1,11:00 AM - 11:50 AM,MWF,"Hayes, D",Online Asynchronous
CS 111,Program Design I,40575,LCD - AS2,01:00 PM - 01:50 PM,MWF,"Hayes, D",Online Asynchronous
CS 141,Program Design II,34447,LCD - AS1,10:00 AM - 10:50 AM,MWF,"Hummel, J",Online Asynchronous
CS 151,Mathematical Foundations of Computing,34014,LEC - AL1,01:00 PM - 01:50 PM,MWF,"McCarty, E",Online Asynchronous
CS 194,Special Topics in Computer Science,44834,LCD,ARRANGED,,"Troy, P",On Campus
CS 211,Programming Practicum,34456,LCD - AS1,10:00 AM - 10:50 AM,F,"Mobasheri, N",Online Asynchronous
CS 251,Data Structures,41549,LCD - AS2,01:00 PM - 01:50 PM,MWF,"Reckinger, S",Online Asynchronous
CS 261,Machine Organization,34463,LCD - AS1,11:00 AM - 12:15 PM,TR,"Diaz Herrera, D",Online Synchronous
CS 294,Special Topics in Computer Science,44837,LCD,ARRANGED,,"Kanich, C",Online Asynchronous
CS 294,Special Topics in Computer Science,44617,LCD,04:00 PM - 04:50 PM,M,"Eriksson, J",Online Synchronous
CS 294,Special Topics in Computer Science,43541,LCD,06:00 PM - 08:00 PM,W,"McCarty, E",Online Synchronous
CS 301,Languages and Automata,17422,LEC - AL1,03:00 PM - 04:15 PM,MW,"Bello Lander, G",Online Synchronous
CS 341,Programming Language Design and Implementation,41552,LCD,02:00 PM - 02:50 PM,MWF,"Deitz, S",Online Asynchronous
CS 341,Programming Language Design and Implementation,34723,LCD,01:00 PM - 01:50 PM,MWF,"Deitz, S",Online Asynchronous
CS 342,Software Design,35976,LCD,11:00 AM - 12:15 PM,TR,"Hallenbeck, M",Online Asynchronous
CS 342,Software Design,41553,LCD,12:30 PM - 01:45 PM,TR,"Hallenbeck, M",Online Asynchronous
CS 361,Systems Programming,36306,LCD - AS1,03:30 PM - 04:45 PM,TR,"Kanich, C",Online Synchronous
CS 362,Computer Design,36309,LCD - AS1,09:30 AM - 10:45 AM,TR,"Theys, M",Online Asynchronous
CS 377,Communication and Ethical Issues in Computing,39374,LCD - AS1,01:00 PM - 01:50 PM,TR,"Burton, E",Online Asynchronous
CS 377,Communication and Ethical Issues in Computing,40663,LCD - AS2,02:00 PM - 02:50 PM,TR,"Burton, E",Online Asynchronous
CS 377,Communication and Ethical Issues in Computing,41964,LCD - AS3,03:30 PM - 04:20 PM,TR,"Burton, E",Online Asynchronous
CS 377,Communication and Ethical Issues in Computing,41965,LCD - AS4,05:00 PM - 05:50 PM,TR,"Burton, E",Online Asynchronous
CS 377,Communication and Ethical Issues in Computing,36312,LCD - BS1,10:00 AM - 10:50 AM,TR,"Clayville, K",Online Asynchronous
CS 377,Communication and Ethical Issues in Computing,38111,LCD - BS2,11:00 AM - 11:50 AM,TR,"Clayville, K",Online Asynchronous
CS 401,Computer Algorithms I,20667,LCD,03:30 PM - 04:45 PM,TR,"Sidiropoulos, A",Online Synchronous
CS 401,Computer Algorithms I,17455,LCD,03:30 PM - 04:45 PM,TR,"Sidiropoulos, A",Online Synchronous
CS 401,Computer Algorithms I,43453,LCD,02:00 PM - 03:15 PM,TR,"Lillis, J",Online Synchronous
CS 401,Computer Algorithms I,43452,LCD,02:00 PM - 03:15 PM,TR,"Lillis, J",Online Synchronous
CS 401,Computer Algorithms I,17454,LCD,11:00 AM - 11:50 AM,MWF,"Turan, G",Online Synchronous
CS 401,Computer Algorithms I,41266,LCD,01:00 PM - 01:50 PM,MWF,"Sun, X",Online Synchronous
CS 401,Computer Algorithms I,20665,LCD,11:00 AM - 11:50 AM,MWF,"Turan, G",Online Synchronous
CS 401,Computer Algorithms I,41267,LCD,01:00 PM - 01:50 PM,MWF,"Sun, X",Online Synchronous
CS 407,Computational Finance,44387,LEC,12:30 PM - 01:45 PM,TR,"Kash, I",Online Synchronous
CS 407,Computational Finance,44388,LEC,12:30 PM - 01:45 PM,TR,"Kash, I",Online Synchronous
CS 411,Artificial Intelligence I,38549,LCD,09:00 AM - 09:50 AM,MWF,"Gmytrasiewicz, P",Online Synchronous
CS 411,Artificial Intelligence I,38550,LCD,09:00 AM - 09:50 AM,MWF,"Gmytrasiewicz, P",Online Synchronous
CS 418,Introduction to Data Science,43230,LEC,09:30 AM - 10:45 AM,MW,"Mobasheri, N",Online Synchronous
